#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Aug 29, 2021 - Sep 4, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,31
https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,26
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,21
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre/e,21
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,18
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/career-and-busines,18
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/banca-privada.html,17
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?gclsrc=aw.ds&gclid=EAIa,17
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre.h,15
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/about-us.html,14
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html?cid=S1eTAX1218-001&utm_so,14
https://www.scotiawealthmanagement.com/intl/en/home/about-us.html,14
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,13
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,12
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/legal-scotiamcleod.html,11
https://www.scotiawealthmanagement.com/intl/en/home/wealth-structuring-and-trust.html,11
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,10
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,10
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?gclid=Cj0KCQjwg7KJBhDyA,10
https://dispatcherauthor02-eus2.prod.pbb59s.333az.net/content/swm/swm/ca-new/en/resource-centre/scot,9
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,9
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/contacte-su-oficina-local.html,9
https://dispatcherauthor02-eus2.prod.pbb59s.333az.net/content/swm/swm/ca-new/en/services/scotiatrust,9
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclsrc=aw.,9


