#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Sep 12, 2021 - Sep 18, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclsrc=aw.,26
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/about-us.html,25
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,23
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,22
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,20
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/banca-privada.html,19
https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,19
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,18
https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,17
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre/e,17
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,15
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/gestin-de-inversiones.html,15
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre.h,15
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/nuestra-identidad.html,15
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html?cid=S1eTAX1218-001&utm_so,13
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/contacte-su-oficina-local.html,12
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html#estate-trust,12
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/career-and-busines,11
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/Scotiatrust-complaint-handling-pro,11
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?gclsrc=aw.ds&gclid=EAIa,10
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax.html,10
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/conflicts-of-interest.html,10
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/important-tax-dates.html,10
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,9
https://www.scotiawealthmanagement.com/intl/en/home/about-us.html,9


#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Sep 12, 2021 - Sep 18, 2021"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),95,
treasury,6,0
fees,4,1.75
gbm,3,0
divorce,2,2
toronto,2,1
scotia online,2,1
valentina achiriloale,2,0
team,2,0
gbm&t,2,0
cross border,2,0
fee,1,6
find an advisor,1,3
wealth advisor,1,3
foundation,1,3
valentina achiriloale mutual fund representative,1,2
scotia trust office,1,2
rates,1,2
teams,1,1
scotiamcleod,1,1
premium,1,1
partnership plus,1,1
financial planner,1,1
donor advised funds,1,1
first time home buyer,1,1
portfolio perspectives,1,1
patricia,1,0
kevin greenard,1,0
jack burkom,1,0
greenard,1,0
high interest savings,1,0
johnathan douglas,1,0
seguro de vida,1,0
edward stock,1,0
bns341,1,0
fax number,1,0
will macleod,1,0
chris carter,1,0
energy,1,0
estate planning,1,0
thunder bay,1,0
todd flick,1,0
mcleod,1,0
conditions,1,0
retirement,1,0
itrade,1,0
stacey favoretto,1,0
curt hussey,1,0
cdic,1,0
crossborder,1,0
advisor,1,0


