#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jan 31, 2021 - Feb 6, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/client-guide-faq.html,65
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative.html,62
https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/thank-you.html,45
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation.html,40
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/contactanos.html,37
https://www.scotiawealthmanagement.com/intl/en/home/private-banking.html,33
https://www.scotiawealthmanagement.com/intl/en/home/investment-management.html,28
https://www.scotiawealthmanagement.com/ca/fr/accueil/gestion-de-placements/scotiamcleod.html,25
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/soluciones-financieras.html,24
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust/jp-bickell-foundation/application-proc,23
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html?gclsrc=aw.,22
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/about-us.html,21
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/forms-and-documents.html,21
https://www.scotiawealthmanagement.com/intl/en/home/contact-us.html,20
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/complaint-handling-procedures.html,17
https://www.scotiawealthmanagement.com/ca/en/home/scotiatrust.html#estate-trust,17
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre/e,15
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?gclid=Cj0KCQiA0-6ABhDMA,14
https://www.scotiawealthmanagement.com/ca/en/home/investment-management.html?gclid=CjwKCAiA9vOABhBfE,13
https://www.scotiawealthmanagement.com/intl/en/home/about-us.html,13
https://www.scotiawealthmanagement.com/mx/es/pagina-principal/nuestra-identidad.html,12
https://www.scotiawealthmanagement.com/intl/es/pagina-principal/contacte-su-oficina-local.html,12
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative.html?gclid=EAIaIQo,12
https://www.scotiawealthmanagement.com/ca/en/home/the-scotiabank-women-initiative/knowledge-centre.h,12
https://www.scotiawealthmanagement.com/ca/fr/accueil/centre-de-ressources-scotiamcleod/impot/dates-i,12


#=================================================================
# SWM Site Search
# Report suite: Scotiabank Prod
"# Date: Jan 31, 2021 - Feb 6, 2021"
# Segments: SWM
#=================================================================


##############################################
# Site Search
##############################################
,Internal Searches (e1),Avg Rank of Result Clicked (beta version)
Internal Search (c1),92,
fees,5,1.4
gianna hurd,4,0
itrade,2,12
gold,2,1
nuevas tarjeta de ahorro,2,0
silver,2,0
amrit klair,2,0
opening an account,1,35
financial advisor,1,6
tarjeta de crédito garantizada,1,4
como cancelo una cuenta,1,3
can i print t5 slips,1,2
partnership plus,1,2
trusts,1,2
insurance,1,2
scotia capital inc,1,1
private emerging markets pool,1,1
managed portfolio program fees,1,1
scotia capital,1,1
estate assist,1,1
apogee,1,1
scotia private global real estate pool,1,1
careers,1,1
wire,1,0
waterloo,1,0
nathaniel brown,1,0
enforcing judgement,1,0
scotia pursuits,1,0
custodian,1,0
shah,1,0
michael sanborn,1,0
spencer campbell,1,0
trez capital,1,0
dsp,1,0
canadian dividend segregated mandate,1,0
d-nay,1,0
in trust,1,0
iron mountain,1,0
sanborn,1,0
extranjero,1,0
author.scotiaonline.scotiabank.com,1,0
directory,1,0
pat zwicker,1,0
transfer out fees,1,0
precious metals,1,0
abbas jafar,1,0
julie arsenault,1,0
tsfa,1,0
beverly,1,0
catálogo,1,0


